,word_form,lemma_id,word_root,citation_form,speaker_age,speaker_gender
398,payṯa,29,byṯ,payṯa,51,F
399,nmašiġillen,1139,šyġ,ōšeġ yōšeġ,51,F
400,nmišwillen,10,šwy,išw/išwi yišw/yišwi,51,F
402,ʕurpōla,952,ʕrpl,ʕurpōla,51,F
403,ḥetta,32,ḥtt,ḥetta,51,F
404,yṣaffull,739,ṣfy,ṣaff yṣaff,51,F
405,mōya,99,mw,mōya,51,F
406,la,124,l,la,51,F
407,yḥumʕan,2031,ḥmʕ,iḥmeʕ yiḥmaʕ,51,F
408,bess,42,bss,bess/bessi,51,F
409,yṣaffull,739,ṣfy,ṣaff yṣaff,51,F
410,mō,23,mɁ,mō,51,F
411,nimfallkillen,1976,flk,fallek yfallek,51,F
412,uxxl,102,xll,uxxul/uxxil,51,F
413,eḥḏa,132,Ɂḥḏ,eḥḏa,51,F
415,eḥḏa,132,Ɂḥḏ,eḥḏa,51,F
416,nmaḳimill,150,ḳwm,ōḳem yōḳem,51,F
417,bizrayyun,767,bzr,bezra,51,F
418,w,1,w,w,51,F
419,nmišwillun,10,šwy,išw/išwi yišw/yišwi,51,F
421,maʕžna,1055,ʕžn,maʕžna,51,F
422,rabb,181,rbb,rabb/rabbi,51,F
423,w,1,w,w,51,F
424,nmayṯyill,19,Ɂṯy,ayṯ(i) yayṯ(i),51,F
425,lanna,48,hnn,lanna,51,F
426,sukkar,923,skr,sukkar,51,F
427,bess,42,bss,bess/bessi,51,F
428,nfallkenn,1976,flk,fallek yfallek,51,F
429,w,1,w,w,51,F
430,nḥassel,109,ḥsl,ḥassel yḥassel,51,F
431,nmišwiss,10,šwy,išw/išwi yišw/yišwi,51,F
432,sukkar,923,skr,sukkar,51,F
433,ʕlayy,4,ʕly,ʕa/ʕal,51,F
434,nmišwillun,10,šwy,išw/išwi yišw/yišwi,51,F
436,šimša,277,šmš,šimša,51,F
437,mett,20,mtt,mett,51,F
438,felkiš,164,flk,felka,51,F
439,šaʕṯiz,110,šwʕ,šaʕṯa,51,F
440,zamōna,198,zmn,zamōna,51,F
441,yīb,53,b,yīb,51,F
442,aḏab,1968,ḏwb,aḏab yīḏub,51,F
443,sukkar,923,skr,sukkar,51,F
444,nmaʕkillen,1721,mʕk,imʕak yimʕuk,51,F
445,w,1,w,w,51,F
446,nimṣaffyillen,739,ṣfy,ṣaff yṣaff,51,F
448,maḥōlča,997,mḥl -> nḥl,maḥōlča,51,F
449,ya,28,y(Ɂ),ya/yā,51,F
451,muṣfōyṯa,3209,ṣfy,miṣfōyṯa/muṣfōyṯa,51,F
452,nimṣaffyillen,739,ṣfy,ṣaff yṣaff,51,F
453,ʕa,4,ʕly,ʕa/ʕal,51,F
454,mahlinnaḥ,1105,mhl,mahla,51,F
455,ḥetta,32,ḥtt,ḥetta,51,F
456,naḳimett,150,ḳwm,ōḳem yōḳem,51,F
457,teflen,3366,tfl,tefla,51,F
458,w,1,w,w,51,F
460,xulle,39,xll,xull,51,F
461,mett,20,mtt,mett,51,F
462,minnayy,6,mn,m-/mn-,51,F
463,ṣaʕṯen,2313,ṣʕṣʕ,ṣaʕṯa,51,F
464,nmayṯyill,19,Ɂṯy,ayṯ(i) yayṯ(i),51,F
465,maʕžna,1055,ʕžn,maʕžna,51,F
466,w,1,w,w,51,F
467,nmišwille,10,šwy,išw/išwi yišw/yišwi,51,F
468,ʕa,4,ʕly,ʕa/ʕal,51,F
469,ṯeffṯa,1504,ṯff,ṯeffṯa,51,F
470,w,1,w,w,51,F
471,nṯōḳnin,17,ṯḳn,iṯḳen yiṯḳan,51,F
472,nmaḏəlḳin,1598,ḏlḳ,aḏleḳ yaḏleḳ,51,F
473,erraʕ,127,Ɂrʕ,erraʕ,51,F
474,menne,69,m,m/mn,51,F
475,ḏlūḳa,467,ḏlḳ,ḏlūḳa,51,F
476,mḳaʕḳaʕ,1699,ḳʕḳʕ,ḳaʕḳaʕ yḳaʕḳaʕ,51,F
477,ṯarč,144,ṯr,ṯarč/ṯarči,51,F
478,ḳuʕḳaʕiyyan,2956,ḳʕḳʕ,ḳuʕḳʕīṯa,51,F
479,nḳaššill,2912,ḳšš,aḳaš yiḳḳuš,51,F
480,lōḳ,14,hw(ḏ),hōḏ(i),51,F
481,ḳalles,66,ḳls,ḳalles,51,F
482,ti,9,t,ti,51,F
483,sukkar,923,skr,sukkar,51,F
484,ču,21,čw,čū/ču,51,F
485,manfʕa,734,nfʕ,anfaʕ yanfaʕ,51,F
486,ẓafərṯe,2423,ẓfr,ẓafərṯa,51,F
487,w,1,w,w,51,F
488,nmaḳimillen,150,ḳwm,ōḳem yōḳem,51,F
489,nmassḳillen,268,slḳ,asseḳ yasseḳ,51,F
490,ʕa,4,ʕly,ʕa/ʕal,51,F
491,ʕakkarō,288,ʕkr,ʕakkōra,51,F
492,nmayṯyiss,19,Ɂṯy,ayṯ(i) yayṯ(i),51,F
493,satrō,1023,str,satra,51,F
494,w,1,w,w,51,F
496,ṣunyōṯa,631,ṣny,ṣunōyṯa,51,F
497,nimfaḓḓyill,891,fḓy,faḓḓ yfaḓḓ,51,F
498,atar,65,twr,atar,51,F
499,lanna,48,hnn,lanna,51,F
500,marmarāt,24,[NA],[loanword],51,F
501,bēn,1584,byn,bēn,51,F
502,baḥ,12,btt,batt-,51,F
503,nisḳel,220,sḳll,isḳel yisḳel,51,F
504,iṯr,113,ṯr,iṯər/iṯri,51,F
