,word_form,lemma_id,word_root,citation_form
587,ukkil,390,kkl,ukkil
588,mett,20,mtt,mett
589,īle,76,Ɂyṯ,īle/ūle
590,ʕyōre,1909,ʕyr,ʕyōra
591,liɁanno,186,lɁnn,liɁanno
592,xull,39,xll,xull
593,mett,20,mtt,mett
595,ʕyōra,1909,ʕyr,ʕyōra
596,ʕa,4,ʕly,ʕa/ʕal
597,ḳall,242,ḳly,ḳall yḳall
598,lanna,48,hnn,lanna
599,ḥalba,325,ḥlb,ḥalba
600,mišwille,10,šwy,išw/išwi yišw/yišwi
601,mažbanča,2414,žbn,mažbanča
602,w,1,w,w
603,mxassyille,174,xss,xass/xassi yxass/yxassi
604,w,1,w,w
605,maṣprin,1761,ṣbr,aṣpar yaṣpar
606,aʕle,4,ʕly,ʕa/ʕal
607,ṯarč,144,ṯr,ṯarč/ṯarči
608,šōʕ,110,šwʕ,šaʕṯa
609,zamōna,198,zmn,zamōna
610,bōṯar,55,bṯr,bōṯar
611,ṯarč,144,ṯr,ṯarč/ṯarči
612,šōʕ,110,šwʕ,šaʕṯa
613,mkaššfille,1227,kšf,kaššef ykaššef
614,miščaḥyill,67,ščḥy,iščaḥ yiščaḥ
615,lanna,48,hnn,lanna
616,ḥalba,325,ḥlb,ḥalba
617,žammet,1159,žmt,ažmet yažmet
618,ex,74,Ɂx,ex/ux
619,ḥalba,325,ḥlb,ḥalba
620,mrawwab,1751,rwb,mrawwab
621,fart,641,frt,fart
622,ḳōlba,844,ḳlb,ḳōlba
623,ḳaʕyillun,22,ḳʕy,ḳʕōle yiḳʕēle
624,atar,65,twr,atar
625,mlabbḏilla,909,lbḏ,lappeḏ ylappeḏ
626,xanni,25,xnn,xann/xanni
627,čilbīḏa,2958,lbḏ,čilbīḏa
628,mlabbḏilla,909,lbḏ,lappeḏ ylappeḏ
629,mlabbḏilla,909,lbḏ,lappeḏ ylappeḏ
630,mlabbḏilla,909,lbḏ,lappeḏ ylappeḏ
631,ḥetta,32,ḥtt,ḥetta
632,yiṯḳun,96,[NA],[sic]
633,mōya,99,mw,mōya
634,ʕa,4,ʕly,ʕa/ʕal
635,ffō,324,ffy,ffō
636,w,1,w,w
637,ġbečča,606,ġbč,ġbečča
639,yarka,866,yrk,yarka
640,ḳōymin,15,ḳwm,aḳa(m) yīḳu(m)
641,atar,65,twr,atar
642,maḳīmin,150,ḳwm,ōḳem yōḳem
643,xann,25,xnn,xann/xanni
644,ḳurṣōṯa,1089,ḳrṣ,ḳoreṣča
645,ḳurṣōṯa,1089,ḳrṣ,ḳoreṣča
646,ōṯ,27,Ɂyṯ,ōṯ(i)
647,ommṯa,80,Ɂmm,ommṯa
648,mayṯyin,19,Ɂṯy,ayṯ(i) yayṯ(i)
649,ḳorʕa,326,ḳrʕ,ḳorʕa
650,xann,25,xnn,xann/xanni
651,mišwilla,10,šwy,išw/išwi yišw/yišwi
653,misti,410,mst(ḏ),misti
654,hanna,7,hnn,hanna
655,ḳorʕa,326,ḳrʕ,ḳorʕa
656,ʕaṣrille,1897,ʕṣr,iʕṣar yiʕṣur
